State_Uts,PHC,CHC,SDH,DH,Total,
Andaman & Nicobar Islands,27,4,0,3,34,
Andhra Pradesh,1417,198,31,20,1666,
Arunachal Pradesh,122,62,0,15,199,
Assam,1007,166,14,33,1220,
Bihar,2007,63,33,43,2146,
Chandigarh,40,2,1,4,47,
Chhattisgarh,813,166,12,32,1023,
Dadra & Nagar Haveli,9,2,1,1,13,
Daman & Diu,4,2,0,2,8,
Delhi,534,25,9,47,615,
Goa,31,4,2,3,40,
Gujarat,1770,385,44,37,2236,
Haryana,500,131,24,28,683,
Himachal Pradesh,516,79,61,15,671,
Jammu & Kashmir,702,87,0,29,818,
Jharkhand,343,179,13,23,558,
Karnataka,2547,207,147,42,2943,
Kerala,933,229,82,53,1297,
Lakshadweep,4,3,2,1,10,
Madhya Pradesh,1420,324,72,51,1867,
Maharashtra,2638,430,101,70,3239,
Manipur,87,17,1,9,114,
Meghalaya,138,29,0,13,180,
Mizoram,65,10,3,9,87,
Nagaland,134,21,0,11,166,
Odisha,1360,377,27,35,1799,
Puducherry,40,4,5,4,53,
Punjab,521,146,47,28,742,
Rajasthan,2463,579,64,33,3139,
Sikkim,25,2,1,4,32,
Tamil Nadu,1854,385,310,32,2581,
Telangana,788,82,47,15,932,
Tripura,114,22,12,9,157,
Uttar Pradesh,3277,671,0,174,4122,
Uttarakhand,275,69,19,20,383,
West Bengal,1374,406,70,55,1905,
All India,"29,899","5,568","1,255","1,003","37,725",
