Sno,State_Uts,Population
1,Andhra Pradesh,53903393
2,Arunachal Pradesh,1570458
3,Assam,35607039
4,Bihar,124799926
5,Chhattisgarh,29436231
6,Goa,1586250
7,Gujarat,63872399
8,Haryana,28204692
9,Himachal Pradesh,7451955
10,Jammu & Kashmir,13895343
11,Jharkhand,38593948
12,Karnataka,67562686
13,Kerala,35699443
14,Madhya Pradesh,85358965
15,Maharashtra,123144223
16,Manipur,3091545
17,Meghalaya,3366710
18,Mizoram,1239244
19,Nagaland,2249695
20,Odisha,46356334
21,Punjab,30141373
22,Rajasthan,81032689
23,Sikkim,690251
24,Tamil Nadu,77841267
25,Telangana,39362732
26,Tripura,4169794
27,Uttar Pradesh,237882725
28,Uttarakhand,11250858
29,West Bengal,99609303
30,Andaman & Nicobar Islands,417036
31,Chandigarh,1158473
32,Dadra & Nagar Haveli,453229
33,Daman & Diu,320816
34,Delhi,18710922
35,Lakshadweep,73183
36,Puducherry,1413542
